type,difficulty,question,pairs__concept,pairs__theory,pairs__proponent,pairs__genre,pairs__description,pairs__author,pairs__work,pairs__instrument,pairs__category,pairs__philosopher,pairs__idea,pairs__sport,pairs__surface,pairs__equipment,pairs__invention,pairs__inventor,pairs__event,pairs__date,pairs__president,pairs__color,pairs__code,pairs__language,pairs__founder,pairs__country,pairs__capital,options__001,options__002,options__003,options__004,answer
Multiple Choice,Easy,What is the capital of France?,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,London,Berlin,Rome,Paris
True/False,Medium,Is the Earth round?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Hard,The largest planet in our solar system is ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter
Short Answer,Easy,Who wrote 'Romeo and Juliet'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Shakespeare
Matching,Medium,Match the following countries with their capitals:,,,,,,,,,,,,,,,,,,,,,,,,USA,"Washington, D.C.",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,Berlin,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,Tokyo,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,BrasC-lia,,,,,
Multiple Choice,,What is the capital of France?,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,London,Berlin,Rome,Paris
True/False,,Is the Earth round?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,,The largest planet in our solar system is ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter
Short Answer,,Who wrote 'Romeo and Juliet'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Shakespeare
Matching,,Match the following countries with their capitals:,,,,,,,,,,,,,,,,,,,,,,,,USA,"Washington, D.C.",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,Berlin,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,Tokyo,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,BrasC-lia,,,,,
Multiple Choice,Easy,What is the capital of Australia?,,,,,,,,,,,,,,,,,,,,,,,,,,Sydney,Melbourne,Canberra,Perth,Canberra
True/False,Medium,The Nile River is the longest river in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Hard,The speed of light in a vacuum is approximately ____________ meters per second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299,792,458"
Short Answer,Easy,Who is the author of 'To Kill a Mockingbird'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harper Lee
Matching,Medium,Match the following programming languages with their founders:,,,,,,,,,,,,,,,,,,,,,,Python,Guido van Rossum,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JavaScript,Brendan Eich,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Java,James Gosling,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C++,Bjarne Stroustrup,,,,,,,
Multiple Choice,Hard,Who painted the Mona Lisa?,,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci
True/False,Easy,Water boils at 100 degrees Fahrenheit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Medium,The chemical symbol for gold is ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Au
Short Answer,Hard,What is the capital of Uzbekistan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tashkent
Matching,Easy,Match the following colors with their hexadecimal codes:,,,,,,,,,,,,,,,,,,,,Red,#FF0000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green,#00FF00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Blue,#0000FF,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yellow,#FFFF00,,,,,,,,,
Multiple Choice,Easy,What is the main function of the kidneys in the human body?,,,,,,,,,,,,,,,,,,,,,,,,,,Digestion,Respiration,Filtration of blood,Muscle movement,Filtration of blood
True/False,Medium,The human heart has four chambers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Hard,The first successful human heart transplant was performed by Dr. ____________ in 1967.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christiaan Barnard
Short Answer,Easy,What is the chemical symbol for water?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2O
Matching,Medium,Match the following presidents with their countries:,,,,,,,,,,,,,,,,,,,Barack Obama,,,,,United States,,,,,,
,,,,,,,,,,,,,,,,,,,,,Angela Merkel,,,,,Germany,,,,,,
,,,,,,,,,,,,,,,,,,,,,Emmanuel Macron,,,,,France,,,,,,
,,,,,,,,,,,,,,,,,,,,,Justin Trudeau,,,,,Canada,,,,,,
Multiple Choice,Hard,Who was the first woman to win a Nobel Prize?,,,,,,,,,,,,,,,,,,,,,,,,,,Marie Curie,Rosalind Franklin,Dorothy Hodgkin,Ada Lovelace,Marie Curie
True/False,Easy,The Great Wall of China is visible from space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Medium,The Berlin Wall fell in ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
Short Answer,Hard,Who was the first female Prime Minister of India?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indira Gandhi
Matching,Easy,Match the following historical events with their dates:,,,,,,,,,,,,,,,,,Declaration of Independence (USA),1776,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,French Revolution,1789,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Fall of the Berlin Wall,1989,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,World War II,1939-1945,,,,,,,,,,,,
Multiple Choice,Easy,Who is the current President of the United States?,,,,,,,,,,,,,,,,,,,,,,,,,,Barack Obama,Donald Trump,Joe Biden,George W. Bush,Joe Biden
True/False,Medium,The Statue of Liberty was a gift from France to the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Hard,The theory of relativity was developed by ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Einstein
Short Answer,Easy,Who is the author of 'Pride and Prejudice'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jane Austen
Matching,Medium,Match the following inventions with their inventors:,,,,,,,,,,,,,,,Telephone,Alexander Graham Bell,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lightbulb,Thomas Edison,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Airplane,Wright Brothers,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Computer,Charles Babbage,,,,,,,,,,,,,,
Multiple Choice,Hard,Which planet is known as the 'Red Planet'?,,,,,,,,,,,,,,,,,,,,,,,,,,Mars,Jupiter,Saturn,Neptune,Mars
True/False,Easy,The moon orbits the Earth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Medium,The Magna Carta was signed in ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215
Short Answer,Hard,Who wrote the play 'Hamlet'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Shakespeare
Matching,Easy,Match the following sports with their equipment:,,,,,,,,,,,,Football,,Football,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Tennis,,Tennis racket,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Golf,,Golf club,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Swimming,,Swimsuit,,,,,,,,,,,,,,,,
Multiple Choice,Easy,What is the largest organ in the human body?,,,,,,,,,,,,,,,,,,,,,,,,,,Heart,Brain,Liver,Skin,Skin
True/False,Medium,The human brain weighs approximately 5 pounds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Hard,The process of cell division is called ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitosis
Short Answer,Easy,What is the chemical symbol for oxygen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Matching,Medium,Match the following philosophers with their ideas:,,,,,,,,,,Socrates,Socratic method,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Plato,Theory of Forms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Aristotle,Golden mean,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Descartes,Cogito ergo sum,,,,,,,,,,,,,,,,,,,
Multiple Choice,Hard,Who discovered penicillin?,,,,,,,,,,,,,,,,,,,,,,,,,,Louis Pasteur,Alexander Fleming,Gregor Mendel,Marie Curie,Alexander Fleming
True/False,Easy,The human skeleton has 206 bones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Medium,The pH scale measures the acidity or ____________ of a substance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alkalinity
Short Answer,Hard,What is the largest continent by land area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Matching,Easy,Match the following musical instruments with their categories:,,,,,,,,Piano,Keyboard,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Guitar,String,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Trumpet,Brass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Drums,Percussion,,,,,,,,,,,,,,,,,,,,,
Multiple Choice,Easy,What is the smallest bone in the human body?,,,,,,,,,,,,,,,,,,,,,,,,,,Femur,Stapes,Tibia,Humerus,Stapes
True/False,Medium,The human body has four types of blood cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Hard,The study of earthquakes is called ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seismology
Short Answer,Easy,Who invented the light bulb?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Edison
Matching,Medium,Match the following authors with their famous works:,,,,,,William Shakespeare,Romeo and Juliet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Jane Austen,Pride and Prejudice,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,George Orwell,1984,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mark Twain,The Adventures of Huckleberry Finn,,,,,,,,,,,,,,,,,,,,,,,
Multiple Choice,Hard,Who developed the first successful polio vaccine?,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Sabin,Louis Pasteur,Jonas Salk,Edward Jenner,Jonas Salk
True/False,Easy,The Earth is the third planet from the Sun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Medium,The process of converting light energy into chemical energy is known as ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photosynthesis
Short Answer,Hard,Who was the first woman to win a Nobel Prize?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie Curie
Matching,Easy,Match the following countries with their capitals:,,,,,,,,,,,,,,,,,,,,,,,,Spain,Madrid,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,Rome,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,BrasC-lia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,India,New Delhi,,,,,
Multiple Choice,Easy,Who painted the Mona Lisa?,,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci
True/False,Medium,The Great Wall of China is visible from the Moon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Hard,The chemical element with the symbol 'Na' is ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sodium
Short Answer,Easy,Who wrote 'To Kill a Mockingbird'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harper Lee
Matching,Medium,Match the following musical genres with their descriptions:,,,,Jazz,Improvisational music with syncopated rhythms,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Classical,Complex compositions with orchestral arrangements,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rock,Guitar-driven music with strong beats and vocals,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hip hop,Rap music with sampled beats and rhymes,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Choice,Hard,Who discovered the theory of evolution by natural selection?,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Darwin,Gregor Mendel,Alfred Russel Wallace,Thomas Huxley,Charles Darwin
True/False,Easy,The Amazon River is the longest river in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Fill in the Blank,Medium,The atomic number of carbon is ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Short Answer,Hard,Who was the first President of the United States?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Washington
Matching,Easy,Match the following sports with their playing surfaces:,,,,,,,,,,,,Football,Field,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Tennis,Court,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Golf,Course,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Swimming,Pool,,,,,,,,,,,,,,,,,
Multiple Choice,Hard,Which of the following is NOT a fundamental force in physics?,,,,,,,,,,,,,,,,,,,,,,,,,,Gravity,Electromagnetism,Nuclear force,Centrifugal force,Centrifugal force
True/False,Tricky,The Heisenberg Uncertainty Principle states that you can never know both the position and velocity of a particle with absolute certainty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Hard,"According to Einstein's theory of relativity, mass and energy are interchangeable through the famous equation E=__________.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mc^2
Short Answer,Tricky,What is the significance of SchrC6dinger's cat in quantum mechanics?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It illustrates the concept of superposition and the interpretation of quantum states.
Matching,Hard,Match the following psychological theories with their proponents:,,Psychoanalysis,Sigmund Freud,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Behaviorism,B.F. Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cognitive psychology,Jean Piaget,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Humanistic psychology,Abraham Maslow,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Choice,Tricky,Which of the following is a paradox in philosophy?,,,,,,,,,,,,,,,,,,,,,,,,,,Zeno's paradox,Occam's razor,SchrC6dinger's cat,The placebo effect,Zeno's paradox
True/False,Hard,The P vs NP problem is considered one of the Millennium Prize Problems in mathematics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Fill in the Blank,Tricky,The Riemann Hypothesis is related to the distribution of ____________.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prime numbers
Short Answer,Hard,What is GC6del's incompleteness theorem?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It states that in any consistent formal system, there are true statements that cannot be proven within the system."
Matching,Tricky,Match the following philosophical concepts with their descriptions:,Solipsism,,,,The belief that only one's mind is sure to exist,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dialectics,,,,The process of arriving at truth through the clash of opposing ideas,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ontology,,,,The study of the nature of being and existence,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Epistemology,,,,The study of knowledge and its acquisition,,,,,,,,,,,,,,,,,,,,,,,,,
